ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
684.0,2023-04-14,Problème de connexion,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Support
685.0,2023-04-08,Panne matérielle,échec mise jour logiciel,Critique,Ouvert,Equipe Support
686.0,2023-08-12,Panne matérielle,tentative connexion non autorisée détectée,Faible,En cours,Equipe Réseau
687.0,2023-06-16,Intrusion,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Sécurité
688.0,2023-08-13,Problème de connexion,impossible daccéder internet,Élevée,En cours,Equipe Support
689.0,2023-08-14,Surcharge,impossible daccéder internet,Critique,Ouvert,Equipe Systèmes
690.0,2023-10-19,Surcharge,impossible dappliquer mise jour sécurité,Critique,Résolu,Equipe Systèmes
691.0,2023-03-08,Panne matérielle,connexion au vpn a échoué,Critique,Résolu,Equipe Sécurité
692.0,2023-12-23,Problème de connexion,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Systèmes
693.0,2023-07-03,Intrusion,capacité bande passante dépassée,Faible,Résolu,Equipe Sécurité
694.0,2023-03-03,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Réseau
695.0,2023-08-01,Problème de connexion,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Systèmes
696.0,2023-04-18,Intrusion,connexion intermittente détectée,Moyenne,Ouvert,Equipe Réseau
697.0,2023-05-28,Problème de connexion,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Sécurité
698.0,2023-02-02,Panne matérielle,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Systèmes
699.0,2023-10-24,Mise à jour échouée,échec mise jour logiciel,Moyenne,Résolu,Equipe Systèmes
700.0,2023-05-25,Problème de connexion,impossible daccéder internet,Faible,En cours,Equipe Sécurité
701.0,2023-03-19,Panne matérielle,impossible daccéder internet,Moyenne,Résolu,Equipe Sécurité
702.0,2023-10-15,Surcharge,carte réseau ne répond plus,Faible,Résolu,Equipe Sécurité
703.0,2023-10-20,Panne matérielle,serveur web est surchargé,Élevée,Ouvert,Equipe Réseau
704.0,2023-08-22,Surcharge,accès suspects ont été détectés,Moyenne,En cours,Equipe Support
705.0,2023-09-21,Mise à jour échouée,malware a été trouvé sur serveur,Élevée,En cours,Equipe Support
706.0,2023-07-01,Intrusion,capacité bande passante dépassée,Moyenne,En cours,Equipe Systèmes
707.0,2023-12-04,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Support
708.0,2023-12-28,Mise à jour échouée,connexion au vpn a échoué,Critique,Ouvert,Equipe Sécurité
709.0,2023-10-17,Panne matérielle,connexion intermittente détectée,Moyenne,Résolu,Equipe Support
710.0,2023-09-29,Panne matérielle,base données est sous forte charge,Moyenne,Ouvert,Equipe Systèmes
711.0,2023-12-31,Panne matérielle,connexion au vpn a échoué,Critique,Ouvert,Equipe Systèmes
712.0,2023-12-18,Intrusion,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Réseau
713.0,2023-10-01,Mise à jour échouée,carte réseau ne répond plus,Critique,Résolu,Equipe Sécurité
714.0,2023-01-30,Surcharge,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Support
715.0,2023-02-07,Problème de connexion,base données est sous forte charge,Faible,Résolu,Equipe Support
716.0,2023-04-04,Panne matérielle,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
717.0,2023-06-01,Problème de connexion,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Systèmes
718.0,2023-10-16,Intrusion,base données est sous forte charge,Critique,En cours,Equipe Sécurité
719.0,2023-12-07,Intrusion,connexion au vpn a échoué,Moyenne,En cours,Equipe Réseau
720.0,2023-09-28,Problème de connexion,impossible daccéder internet,Élevée,En cours,Equipe Réseau
721.0,2023-12-21,Panne matérielle,échec mise jour logiciel,Critique,Résolu,Equipe Support
722.0,2023-08-26,Panne matérielle,base données est sous forte charge,Faible,Ouvert,Equipe Réseau
723.0,2023-01-20,Mise à jour échouée,impossible daccéder internet,Faible,Ouvert,Equipe Support
724.0,2023-12-18,Surcharge,échec mise jour logiciel,Faible,Résolu,Equipe Support
725.0,2023-08-05,Intrusion,échec mise jour logiciel,Faible,En cours,Equipe Sécurité
726.0,2023-10-18,Intrusion,accès suspects ont été détectés,Faible,Résolu,Equipe Systèmes
727.0,2023-06-24,Intrusion,carte réseau ne répond plus,Élevée,Ouvert,Equipe Sécurité
728.0,2023-11-22,Problème de connexion,capacité bande passante dépassée,Faible,Résolu,Equipe Sécurité
729.0,2023-04-18,Intrusion,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Sécurité
730.0,2023-02-22,Panne matérielle,tentative connexion non autorisée détectée,Moyenne,Résolu,Equipe Systèmes
731.0,2023-07-19,Surcharge,carte réseau ne répond plus,Moyenne,Ouvert,Equipe Réseau
732.0,2023-04-06,Intrusion,tentative connexion non autorisée détectée,Faible,En cours,Equipe Sécurité
733.0,2023-04-23,Intrusion,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Systèmes
734.0,2023-05-18,Problème de connexion,accès suspects ont été détectés,Faible,Résolu,Equipe Sécurité
735.0,2023-11-03,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Sécurité
736.0,2023-07-06,Surcharge,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Support
737.0,2023-08-03,Problème de connexion,tentative connexion non autorisée détectée,Faible,En cours,Equipe Systèmes
738.0,2023-05-15,Intrusion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Support
739.0,2023-08-23,Mise à jour échouée,serveur web est surchargé,Moyenne,Résolu,Equipe Réseau
740.0,2023-03-23,Mise à jour échouée,accès suspects ont été détectés,Critique,En cours,Equipe Systèmes
741.0,2023-01-07,Intrusion,serveur web est surchargé,Élevée,Résolu,Equipe Systèmes
742.0,2023-05-10,Surcharge,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
743.0,2023-08-12,Panne matérielle,capacité bande passante dépassée,Critique,Résolu,Equipe Sécurité
744.0,2023-04-11,Mise à jour échouée,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Systèmes
745.0,2023-08-31,Mise à jour échouée,carte réseau ne répond plus,Élevée,Ouvert,Equipe Systèmes
746.0,2023-01-03,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Systèmes
747.0,2023-01-21,Problème de connexion,connexion au vpn a échoué,Faible,En cours,Equipe Support
748.0,2023-06-09,Surcharge,tentative connexion non autorisée détectée,Moyenne,Résolu,Equipe Réseau
749.0,2023-01-21,Panne matérielle,disque dur est tombé panne,Élevée,En cours,Equipe Systèmes
750.0,2023-07-13,Problème de connexion,base données est sous forte charge,Élevée,Résolu,Equipe Support
751.0,2023-02-07,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Support
752.0,2023-02-23,Panne matérielle,accès suspects ont été détectés,Critique,Résolu,Equipe Systèmes
753.0,2023-08-31,Mise à jour échouée,malware a été trouvé sur serveur,Élevée,En cours,Equipe Réseau
754.0,2023-06-15,Intrusion,connexion au vpn a échoué,Faible,En cours,Equipe Réseau
755.0,2023-07-08,Surcharge,connexion intermittente détectée,Critique,Ouvert,Equipe Systèmes
756.0,2023-05-13,Panne matérielle,connexion intermittente détectée,Moyenne,Ouvert,Equipe Réseau
757.0,2023-04-01,Problème de connexion,impossible daccéder internet,Moyenne,Résolu,Equipe Support
758.0,2023-08-28,Surcharge,disque dur est tombé panne,Faible,Ouvert,Equipe Support
759.0,2023-05-31,Panne matérielle,connexion intermittente détectée,Faible,En cours,Equipe Sécurité
760.0,2023-03-13,Surcharge,carte réseau ne répond plus,Élevée,Ouvert,Equipe Sécurité
761.0,2023-04-12,Panne matérielle,mise jour firmware a échoué,Élevée,En cours,Equipe Support
762.0,2023-08-15,Surcharge,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Systèmes
763.0,2023-12-22,Mise à jour échouée,impossible daccéder internet,Moyenne,En cours,Equipe Support
764.0,2023-04-11,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Sécurité
765.0,2023-08-19,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Systèmes
766.0,2023-09-19,Mise à jour échouée,malware a été trouvé sur serveur,Critique,Résolu,Equipe Sécurité
767.0,2023-03-29,Panne matérielle,serveur principal a cessé fonctionner,Faible,En cours,Equipe Systèmes
768.0,2023-04-20,Mise à jour échouée,impossible daccéder internet,Critique,Résolu,Equipe Réseau
769.0,2023-03-30,Mise à jour échouée,disque dur est tombé panne,Élevée,En cours,Equipe Réseau
770.0,2023-03-24,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Systèmes
771.0,2023-04-24,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Systèmes
772.0,2023-03-22,Intrusion,capacité bande passante dépassée,Élevée,Résolu,Equipe Systèmes
773.0,2023-08-12,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Systèmes
774.0,2023-02-20,Mise à jour échouée,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Support
775.0,2023-06-22,Problème de connexion,accès suspects ont été détectés,Critique,En cours,Equipe Systèmes
776.0,2023-04-22,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,En cours,Equipe Réseau
777.0,2023-10-08,Mise à jour échouée,impossible daccéder internet,Moyenne,Ouvert,Equipe Support
778.0,2023-03-08,Problème de connexion,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Systèmes
779.0,2023-02-09,Surcharge,disque dur est tombé panne,Moyenne,Ouvert,Equipe Sécurité
780.0,2023-03-03,Mise à jour échouée,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Support
781.0,2023-02-24,Surcharge,malware a été trouvé sur serveur,Faible,Résolu,Equipe Support
782.0,2023-07-14,Surcharge,disque dur est tombé panne,Élevée,Résolu,Equipe Systèmes
783.0,2023-04-24,Mise à jour échouée,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
784.0,2023-07-20,Mise à jour échouée,connexion au vpn a échoué,Critique,Résolu,Equipe Systèmes
785.0,2023-08-14,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Systèmes
786.0,2023-01-24,Problème de connexion,capacité bande passante dépassée,Faible,Résolu,Equipe Réseau
787.0,2023-09-30,Mise à jour échouée,disque dur est tombé panne,Élevée,Ouvert,Equipe Systèmes
788.0,2023-07-23,Problème de connexion,connexion intermittente détectée,Moyenne,Résolu,Equipe Sécurité
789.0,2023-01-25,Panne matérielle,capacité bande passante dépassée,Moyenne,Résolu,Equipe Systèmes
790.0,2023-03-31,Mise à jour échouée,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
791.0,2023-10-22,Problème de connexion,disque dur est tombé panne,Élevée,Ouvert,Equipe Support
792.0,2023-01-27,Panne matérielle,base données est sous forte charge,Faible,Résolu,Equipe Réseau
793.0,2023-02-15,Problème de connexion,accès suspects ont été détectés,Critique,Résolu,Equipe Sécurité
794.0,2023-08-09,Intrusion,capacité bande passante dépassée,Élevée,Résolu,Equipe Support
795.0,2023-09-16,Intrusion,serveur web est surchargé,Critique,En cours,Equipe Sécurité
796.0,2023-07-21,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Sécurité
797.0,2023-07-17,Mise à jour échouée,impossible daccéder internet,Critique,En cours,Equipe Systèmes
798.0,2023-04-25,Intrusion,accès suspects ont été détectés,Élevée,Résolu,Equipe Systèmes
799.0,2023-10-11,Panne matérielle,serveur web est surchargé,Élevée,Résolu,Equipe Sécurité
800.0,2023-04-02,Intrusion,base données est sous forte charge,Élevée,Résolu,Equipe Sécurité
801.0,2023-03-07,Intrusion,base données est sous forte charge,Moyenne,Ouvert,Equipe Support
802.0,2023-11-22,Surcharge,tentative connexion non autorisée détectée,Faible,En cours,Equipe Réseau
803.0,2023-01-24,Intrusion,mise jour firmware a échoué,Faible,Ouvert,Equipe Réseau
804.0,2023-05-16,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Systèmes
805.0,2023-12-20,Surcharge,accès suspects ont été détectés,Critique,Ouvert,Equipe Systèmes
806.0,2023-03-15,Panne matérielle,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
807.0,2023-03-24,Panne matérielle,malware a été trouvé sur serveur,Élevée,En cours,Equipe Support
808.0,2023-07-04,Surcharge,connexion intermittente détectée,Faible,Résolu,Equipe Réseau
809.0,2023-09-28,Surcharge,connexion intermittente détectée,Faible,En cours,Equipe Systèmes
810.0,2023-12-07,Mise à jour échouée,carte réseau ne répond plus,Faible,Ouvert,Equipe Systèmes
811.0,2023-04-04,Intrusion,échec mise jour logiciel,Faible,En cours,Equipe Réseau
812.0,2023-02-07,Surcharge,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
813.0,2023-10-13,Intrusion,serveur web est surchargé,Faible,Résolu,Equipe Sécurité
814.0,2023-09-06,Surcharge,connexion intermittente détectée,Élevée,Résolu,Equipe Sécurité
815.0,2023-05-10,Problème de connexion,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Sécurité
816.0,2023-09-19,Panne matérielle,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Systèmes
817.0,2023-10-21,Panne matérielle,carte réseau ne répond plus,Moyenne,Ouvert,Equipe Support
818.0,2023-12-28,Intrusion,mise jour firmware a échoué,Critique,Ouvert,Equipe Réseau
819.0,2023-11-27,Mise à jour échouée,échec mise jour logiciel,Faible,Ouvert,Equipe Support
820.0,2023-04-02,Mise à jour échouée,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Systèmes
821.0,2023-05-08,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Sécurité
822.0,2023-08-26,Panne matérielle,serveur web est surchargé,Critique,Ouvert,Equipe Sécurité
823.0,2023-02-08,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Support
824.0,2023-10-30,Panne matérielle,disque dur est tombé panne,Critique,Ouvert,Equipe Réseau
825.0,2023-01-16,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Support
826.0,2023-08-20,Problème de connexion,échec mise jour logiciel,Faible,Résolu,Equipe Systèmes
827.0,2023-07-31,Panne matérielle,disque dur est tombé panne,Critique,En cours,Equipe Réseau
828.0,2023-12-07,Surcharge,serveur web est surchargé,Critique,Ouvert,Equipe Réseau
829.0,2023-04-08,Surcharge,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Systèmes
830.0,2023-02-26,Problème de connexion,serveur web est surchargé,Élevée,En cours,Equipe Support
831.0,2023-08-08,Problème de connexion,mise jour firmware a échoué,Faible,Ouvert,Equipe Systèmes
832.0,2023-08-24,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Systèmes
833.0,2023-06-27,Mise à jour échouée,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
834.0,2023-03-07,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Réseau
835.0,2023-06-14,Problème de connexion,connexion intermittente détectée,Élevée,Ouvert,Equipe Réseau
836.0,2023-10-06,Intrusion,mise jour firmware a échoué,Critique,Résolu,Equipe Sécurité
837.0,2023-02-26,Mise à jour échouée,connexion intermittente détectée,Élevée,En cours,Equipe Support
838.0,2023-04-30,Surcharge,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
839.0,2023-02-23,Surcharge,disque dur est tombé panne,Faible,En cours,Equipe Support
840.0,2023-01-06,Surcharge,tentative connexion non autorisée détectée,Faible,Ouvert,Equipe Sécurité
841.0,2023-04-20,Surcharge,carte réseau ne répond plus,Faible,Ouvert,Equipe Support
842.0,2023-07-04,Panne matérielle,impossible daccéder internet,Critique,Ouvert,Equipe Systèmes
843.0,2023-06-19,Surcharge,capacité bande passante dépassée,Faible,Ouvert,Equipe Sécurité
844.0,2023-08-01,Intrusion,serveur web est surchargé,Faible,Résolu,Equipe Support
845.0,2023-09-06,Mise à jour échouée,échec mise jour logiciel,Critique,Résolu,Equipe Sécurité
846.0,2023-02-09,Problème de connexion,impossible daccéder internet,Moyenne,Ouvert,Equipe Systèmes
847.0,2023-12-11,Problème de connexion,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Réseau
848.0,2023-03-20,Problème de connexion,connexion intermittente détectée,Moyenne,Résolu,Equipe Sécurité
849.0,2023-12-27,Panne matérielle,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Réseau
850.0,2023-04-30,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
851.0,2023-09-24,Mise à jour échouée,carte réseau ne répond plus,Critique,Ouvert,Equipe Réseau
852.0,2023-10-22,Problème de connexion,connexion au vpn a échoué,Moyenne,En cours,Equipe Réseau
853.0,2023-03-26,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Systèmes
854.0,2023-05-06,Panne matérielle,serveur web est surchargé,Faible,Résolu,Equipe Support
855.0,2023-01-23,Panne matérielle,malware a été trouvé sur serveur,Faible,Ouvert,Equipe Support
856.0,2023-04-17,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Sécurité
857.0,2023-05-12,Problème de connexion,capacité bande passante dépassée,Faible,En cours,Equipe Sécurité
858.0,2023-05-18,Mise à jour échouée,impossible daccéder internet,Élevée,Résolu,Equipe Systèmes
859.0,2023-12-14,Panne matérielle,malware a été trouvé sur serveur,Faible,En cours,Equipe Sécurité
860.0,2023-07-23,Mise à jour échouée,serveur principal a cessé fonctionner,Faible,Ouvert,Equipe Réseau
861.0,2023-06-18,Problème de connexion,impossible daccéder internet,Moyenne,Résolu,Equipe Sécurité
862.0,2023-10-23,Panne matérielle,carte réseau ne répond plus,Élevée,En cours,Equipe Réseau
863.0,2023-01-22,Intrusion,connexion au vpn a échoué,Faible,En cours,Equipe Support
864.0,2023-02-19,Problème de connexion,mise jour firmware a échoué,Moyenne,Résolu,Equipe Support
865.0,2023-03-10,Mise à jour échouée,impossible dappliquer mise jour sécurité,Élevée,En cours,Equipe Support
866.0,2023-06-10,Mise à jour échouée,connexion intermittente détectée,Faible,En cours,Equipe Support
867.0,2023-07-27,Problème de connexion,impossible daccéder internet,Élevée,Ouvert,Equipe Support
868.0,2023-09-14,Surcharge,mise jour firmware a échoué,Critique,En cours,Equipe Sécurité
869.0,2023-05-30,Panne matérielle,base données est sous forte charge,Moyenne,En cours,Equipe Réseau
870.0,2023-10-28,Surcharge,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Support
871.0,2023-12-17,Intrusion,accès suspects ont été détectés,Moyenne,En cours,Equipe Réseau
872.0,2023-11-08,Problème de connexion,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Systèmes
873.0,2023-01-28,Mise à jour échouée,disque dur est tombé panne,Élevée,Ouvert,Equipe Support
874.0,2023-12-24,Problème de connexion,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Support
875.0,2023-07-25,Intrusion,échec mise jour logiciel,Faible,Ouvert,Equipe Réseau
876.0,2023-10-16,Surcharge,connexion au vpn a échoué,Moyenne,En cours,Equipe Systèmes
877.0,2023-02-27,Problème de connexion,mise jour firmware a échoué,Moyenne,En cours,Equipe Systèmes
878.0,2023-03-29,Problème de connexion,mise jour firmware a échoué,Élevée,Ouvert,Equipe Support
879.0,2023-03-13,Intrusion,base données est sous forte charge,Élevée,En cours,Equipe Réseau
880.0,2023-07-22,Mise à jour échouée,connexion intermittente détectée,Critique,En cours,Equipe Sécurité
881.0,2023-03-26,Intrusion,impossible daccéder internet,Moyenne,Ouvert,Equipe Support
882.0,2023-04-04,Panne matérielle,capacité bande passante dépassée,Élevée,Résolu,Equipe Systèmes
883.0,2023-07-08,Intrusion,impossible daccéder internet,Faible,En cours,Equipe Systèmes
884.0,2023-03-06,Surcharge,base données est sous forte charge,Moyenne,Ouvert,Equipe Réseau
885.0,2023-03-26,Panne matérielle,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Réseau
886.0,2023-02-03,Intrusion,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
887.0,2023-11-18,Intrusion,échec mise jour logiciel,Élevée,En cours,Equipe Réseau
888.0,2023-09-29,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,En cours,Equipe Support
889.0,2023-03-28,Problème de connexion,connexion intermittente détectée,Critique,En cours,Equipe Réseau
890.0,2023-11-14,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Support
891.0,2023-07-06,Intrusion,connexion intermittente détectée,Élevée,Ouvert,Equipe Réseau
892.0,2023-01-06,Mise à jour échouée,mise jour firmware a échoué,Élevée,En cours,Equipe Support
893.0,2023-06-06,Panne matérielle,échec mise jour logiciel,Critique,En cours,Equipe Support
894.0,2023-11-12,Problème de connexion,accès suspects ont été détectés,Critique,Ouvert,Equipe Systèmes
895.0,2023-03-11,Intrusion,tentative connexion non autorisée détectée,Critique,Résolu,Equipe Sécurité
896.0,2023-08-08,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Systèmes
897.0,2023-11-14,Surcharge,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Support
898.0,2023-02-07,Intrusion,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Sécurité
899.0,2023-08-01,Mise à jour échouée,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Systèmes
900.0,2023-03-17,Intrusion,connexion intermittente détectée,Moyenne,En cours,Equipe Support
901.0,2023-06-09,Mise à jour échouée,connexion au vpn a échoué,Critique,Résolu,Equipe Sécurité
902.0,2023-03-18,Surcharge,malware a été trouvé sur serveur,Faible,Ouvert,Equipe Sécurité
903.0,2023-12-01,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Sécurité
904.0,2023-09-04,Surcharge,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Réseau
905.0,2023-01-02,Panne matérielle,tentative connexion non autorisée détectée,Critique,Résolu,Equipe Réseau
906.0,2023-01-17,Surcharge,connexion intermittente détectée,Critique,Résolu,Equipe Réseau
907.0,2023-02-24,Intrusion,impossible daccéder internet,Critique,Résolu,Equipe Systèmes
908.0,2023-12-25,Intrusion,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Systèmes
909.0,2023-01-26,Surcharge,capacité bande passante dépassée,Faible,Ouvert,Equipe Systèmes
910.0,2023-09-15,Mise à jour échouée,disque dur est tombé panne,Critique,En cours,Equipe Support
911.0,2023-01-27,Surcharge,serveur principal a cessé fonctionner,Faible,Ouvert,Equipe Support
912.0,2023-04-15,Mise à jour échouée,serveur principal a cessé fonctionner,Moyenne,Ouvert,Equipe Systèmes
913.0,2023-07-24,Surcharge,disque dur est tombé panne,Moyenne,Ouvert,Equipe Support
914.0,2023-08-24,Mise à jour échouée,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
915.0,2023-08-22,Surcharge,capacité bande passante dépassée,Critique,Ouvert,Equipe Réseau
916.0,2023-06-04,Mise à jour échouée,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Réseau
917.0,2023-01-29,Surcharge,disque dur est tombé panne,Élevée,Résolu,Equipe Support
918.0,2023-07-19,Panne matérielle,carte réseau ne répond plus,Critique,Ouvert,Equipe Sécurité
919.0,2023-12-22,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Support
920.0,2023-02-19,Panne matérielle,échec mise jour logiciel,Moyenne,Résolu,Equipe Sécurité
921.0,2023-12-09,Surcharge,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Support
922.0,2023-07-10,Panne matérielle,impossible daccéder internet,Élevée,Ouvert,Equipe Systèmes
923.0,2023-03-06,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Systèmes
924.0,2023-10-21,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,Ouvert,Equipe Support
925.0,2023-04-20,Mise à jour échouée,serveur web est surchargé,Élevée,En cours,Equipe Réseau
926.0,2023-04-16,Problème de connexion,accès suspects ont été détectés,Faible,Ouvert,Equipe Systèmes
927.0,2023-03-28,Panne matérielle,disque dur est tombé panne,Critique,En cours,Equipe Support
928.0,2023-04-03,Problème de connexion,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Systèmes
929.0,2023-11-05,Panne matérielle,connexion intermittente détectée,Moyenne,En cours,Equipe Réseau
930.0,2023-09-10,Panne matérielle,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
931.0,2023-05-29,Panne matérielle,capacité bande passante dépassée,Critique,Résolu,Equipe Sécurité
932.0,2023-10-15,Surcharge,carte réseau ne répond plus,Faible,Ouvert,Equipe Réseau
933.0,2023-09-05,Surcharge,capacité bande passante dépassée,Élevée,Résolu,Equipe Sécurité
934.0,2023-06-12,Problème de connexion,carte réseau ne répond plus,Faible,En cours,Equipe Systèmes
935.0,2023-02-19,Problème de connexion,connexion au vpn a échoué,Élevée,Ouvert,Equipe Systèmes
936.0,2023-12-20,Surcharge,échec mise jour logiciel,Moyenne,Ouvert,Equipe Support
937.0,2023-04-07,Surcharge,capacité bande passante dépassée,Faible,En cours,Equipe Réseau
938.0,2023-03-30,Intrusion,disque dur est tombé panne,Élevée,En cours,Equipe Systèmes
939.0,2023-01-14,Surcharge,connexion au vpn a échoué,Faible,Résolu,Equipe Réseau
940.0,2023-11-01,Problème de connexion,connexion intermittente détectée,Faible,Résolu,Equipe Sécurité
941.0,2023-06-14,Mise à jour échouée,connexion intermittente détectée,Critique,Résolu,Equipe Support
942.0,2023-08-15,Panne matérielle,connexion au vpn a échoué,Élevée,En cours,Equipe Réseau
943.0,2023-07-05,Panne matérielle,capacité bande passante dépassée,Élevée,Ouvert,Equipe Réseau
944.0,2023-08-23,Panne matérielle,serveur web est surchargé,Critique,Ouvert,Equipe Sécurité
945.0,2023-01-09,Mise à jour échouée,tentative connexion non autorisée détectée,Faible,En cours,Equipe Support
946.0,2023-05-01,Intrusion,accès suspects ont été détectés,Critique,Ouvert,Equipe Sécurité
947.0,2023-07-18,Panne matérielle,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Réseau
948.0,2023-04-13,Mise à jour échouée,connexion intermittente détectée,Moyenne,Ouvert,Equipe Réseau
949.0,2023-10-05,Intrusion,disque dur est tombé panne,Élevée,Résolu,Equipe Réseau
950.0,2023-05-11,Mise à jour échouée,carte réseau ne répond plus,Moyenne,Résolu,Equipe Systèmes
951.0,2023-09-24,Problème de connexion,serveur principal a cessé fonctionner,Élevée,Résolu,Equipe Support
952.0,2023-07-15,Mise à jour échouée,échec mise jour logiciel,Faible,Résolu,Equipe Réseau
953.0,2023-11-15,Intrusion,disque dur est tombé panne,Critique,En cours,Equipe Sécurité
954.0,2023-02-28,Mise à jour échouée,connexion intermittente détectée,Moyenne,Ouvert,Equipe Sécurité
955.0,2023-08-08,Mise à jour échouée,disque dur est tombé panne,Critique,En cours,Equipe Réseau
956.0,2023-09-11,Mise à jour échouée,connexion intermittente détectée,Moyenne,En cours,Equipe Systèmes
957.0,2023-10-18,Panne matérielle,mise jour firmware a échoué,Élevée,Ouvert,Equipe Réseau
958.0,2023-10-31,Panne matérielle,connexion intermittente détectée,Faible,Ouvert,Equipe Support
959.0,2023-08-10,Mise à jour échouée,base données est sous forte charge,Critique,Ouvert,Equipe Support
960.0,2023-04-22,Panne matérielle,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Support
961.0,2023-10-24,Mise à jour échouée,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Support
962.0,2023-01-27,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Systèmes
963.0,2023-11-04,Intrusion,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Réseau
